义演	benefit
高脚凳	stool
见闻	knowledge
物马力	horsepower
尊贵的人	noble
滨	shore
民主国家	democracy
胃液	juice
[复数]drys[非正式用语]主张禁酒的人	dry
精彩的表演	spectacular
〈口〉非常丑恶	horror
发祥地	cradle	nurse
照片	photo	picture
（因财富和社会地位而仅有部分人享有的）权益	privilege
半岛	peninsula
晶体	crystal
开销	spend
〈俚〉情人	lad
意思	meaning	significance
寄生物	parasite
（英国）下议院	house
摔倒	fall	trip	tumble
基础	base	basic	basis	foundation	foundation	fundamental	ground
骗子	artist	cheat	fake	fraud	hawk	sham	sharp
[生态学]生产率	productivity
公转	revolution
（肌肤的）痛处	sore
旁边	side
窗	window
<正式>过去	yesterday
军舰	warship
女修道院院长	mother
大批赃物	haul
有运动员品质[道德]的人	sportsman
显示	show
全世界	universe
稻草	straw
[游戏]复局	duplicate
丰碑	monument
献身…的人	servant
尾随者	tail
（指成年女子	lady
（家庭或团体中）最年幼的成员	baby
王族成员	royalty
冰淇淋	ice-cream
咒骂	swear
氧气	oxygen
生手	amateur	infant
证据	evidence	fact	testimony	tribute	witness
（派驻联合国等国际组织的）代表	ambassador
奇遇	adventure
七个	seven
桔子	orange
方法	fashion	highway	how	kind	line	manner	medium	method	regime	road	sort	system	way	approach
论题	thesis	topic
[法]继承的产业	fee
圣经中的节	verse
圆周	circumference
毯子	blanket
符合	correspondence
对策	put
[商]佣金	commission
橡木色	oak
持续的时间	duration
隐蔽处	shadow
运动衫	sweater
[牌]摊牌	declaration
罪行	crime
张贴者	poster
无聊的人或事	yawn
绕道	roundabout
市政债券	municipal
蒸锅	steamer
橹	oar
温度表	mercury
亏损	deficit	loss
超级市场	supermarket
两星期	fortnight
止血敷布	compress
修订	revise
魔鬼	devil
生长	growth
艺术家	artist
监护人	committee
无	nothing	absence
具有讽刺意味的事	irony
文件	paper
牧群	herd
窘境	bind	dilemma
草	grass	herb
触感	touch
（诗歌	burden
研讨班	seminar
结合	join	wedding
舒适	comfort	ease
引航员	pilot
庭院	courtyard
增刊	supplement
最好的东西	best
小伙子	lad	youth	boy	chap
偷偷接近	stalk
目的	destination	goal	mind	purpose	sake	target	intention
（动物的）爪	claw
（运行）环境	environment
咳	cough
（未获学士学位的）大学生	undergraduate
杀害	destruction
类似物	representative	similar
嘈闹的宴会	riot
剪票铗	punch
咬	bite
词的拼法	graph
天父	father
[医]病灶	focus
通知	circular	information
忠告	advice
“鉴于…”：正式文件的介绍性陈述	whereas
地位	position	role	station	status
矿石	mineral	ore	stone
不透明	opaque
陪审团	jury
冒牌货	fake	fraud
牧草	herb	keep
装载	load
完全	full
[化]氧	oxygen
丝绒	velvet
音轨	track
麻烦事	knot	nuisance
联结	bond
电视连续剧	serial
保持力	retention
诱惑物	bribe	lure	temptation
难题	knot	puzzle
手柄	handle
猛烈抨击	slaughter
愚蠢的行为	nonsense	simple
垮台	collapse	overturn
主体	bulk
伏特数	voltage
文学作品	literature
蓄电池	battery
赔偿	compensation
十二	twelve
口头禅	commonplace
（剧情的）发展	discovery
字典	dictionary
果心	core
步态	walk
口搭车（者）	pickup
教练	coach
节目	programme
北方	north
（计算机与其他设备的）接口	port
[统]权	weight
喷嚏声	sneeze
尾巴的骨肉部份	dock
储备物质	supply
团结	solidarity	union
餐叉	fork
文官	civilian
所发的球	serve
鬼把戏或诡计	shine
狠毒的女人	cat
经验	experience
[板]得五分	five
令人不愉快的事物	nasty
捐助	charity	contribution
石油	oil	petroleum
协议	compact	treaty	agreement
突出的部分	nose
从业者	practitioner
（动物的）脊肉	saddle
唠叨	jaw
（乘坐汽车等的）旅行	ride
救济措施	salvation
偏离的方向	sheer
大惊小怪	fuss
百分比	percent	percentage
钟（表）面	dial
烟尘	smog
庞然大物	monster
牛属动物	ox
一般性	universal
齿轮	gear
（织物、毛皮等的）手感	handle
datum的复数	data
清理	disposal
笔尖	pen
毛病	defect
广大的世界	wide
过程	journey	procedure	process
搏动	impulse
训令	prescription
渐衰期	autumn
收音机	radio
撇去的东西	skim
表面	face	surface	exterior
鼓舞人心的人或事	inspiration
被捕杀的动物	kill
雇员	employee
〈口〉（使用）信用卡	plastic
蓝色	blue
时钟	clock
课时	hour
独立心	independence
领导人	van
战略（战术）计划	disposition
翻转	turn
高原（地区）	highland
推动力	locomotive	urge
全盛期	noon
造成困苦与苦难的原因	hardship
充分	enough	fill	full	plenty
停滞	rust
事情	affair
能行动的动物	locomotive
葡萄酒	wine
辣椒	pepper
数据库	database
一年的期间	year
小叶	leaflet
离题话	aside
穿旧	wear
宗教服装	habit
加餐	snack
池塘	basin	mere	pond
奥秘	secret
牺牲者	victim
[医]嗫音	whisper
肉体	clay	flesh
纳贡	render
军部署	disposition
父亲（或母亲）	parent
扩大的人	amplifier
[数]同类项	bracket
报答	pay	payment	reward
骑马的军人	horse
家庭教师	tutor
外罩	housing
发球权	serve
打出的牌	discard	discard
枝条	stick
（物体的）圆形或凸起部份	belly
德行	virtue
小精灵	fairy
会计师	accountant
气候	climate
（楼房的）一层	flat
劫掠	raid
巧克力	candy	chocolate
知识分子	intellectual
闲逛	stroll	wander
警惕	precaution
视野	sight
平凡	prose
耳堂	aisle
求助[凭借]的对象	resort
磨损	erosion	wear
舌头	tongue
动产	goods
电子	electron
难以控制的人（或动物）	handful
工作	assignment	effort	employ	labor	occupation	pursuit	task	thrift	work
（板球）一百分	century
税务署	revenue
地窖	cellar
野战军	army
处所	dwelling
豌豆状物	pea
脾气乖戾的人	crab
带柄三脚平底锅	spider
哭	cry
白热	glow
金钱	pocket	dollar
书桌	desk
灯罩	lantern
火腿	ham
[宗]回应经文	response
枢要	hinge
差额	difference
电阻	resistance
（旅馆等的）单人房间	single
汗毛	down
特制品	speciality
环状物	wreath
课堂	classroom
意想不到（或突然）的事	surprise
悲剧表演艺术	tragedy
欢送	farewell
拉杆	rod
受抚养人	dependent
时髦的人	fashionable
提供消息的人	source
底稿	manuscript
景象	prospect	sight	spectacle
合理的事物	rational
分散注意力	diversion
地域	region	scope
溶解	solution
一阵（疾风等）	blast
推理剧	mystery
感情等的）奔放	riot
零售商	merchant
困惑	confusion
国内	inland
研究结果	finding
幼小的动物	young
〈美〉（政党等的）领袖	manager
长筒袜	hose
抢	snatch
早期的艺术家（作品）	primitive
学问	learning	wisdom
（给演员）的提白	prompt
报	newspaper
编队	formation
思潮	climate
受珍视的人[物]	jewel
征求意见者	consultant
[数]变换式	transform
凝视	gaze	regard	stare
边境	frontier
年龄	age
鞍状物	saddle
动画片	cartoon
升半音	sharp
经历	event	history	experience
杆	pole	post	rod
抓	catch
顶	top
长柄木铲	peel
投	cast
学术	learning	scholarship
大剪刀	shear
保管	maintenance
救世主	christ	salvation
[计]域名	domain
采访	interview
一致同意	consensus
原子能	atom
摄影机	camera
小巷	lane
珠状物	pearl
云状物	cloud
圈套	hook	trap	web
（混合物的）组成部分	ingredient
步行	walk
解救办法	salvation
[数][物]频率	frequency
寂静	quiet	silence	still
联姻	alliance
突然查抄[搜捕]	raid
[常用复数]赢得物	win
学期	session	term
瓦解	overturn
喝酒狂闹	riot
海底生物	submarine
情形	status
狩猎	shoot
箭状物	arrow
猫头鹰	owl
日出（时分）	sunrise
[多用于英国]律师的办公室	chamber
畜栏	stall
松木	pine
到达者	arrival
说唱歌	rap
[艺]手法	mechanism
沟	trench
巧克力色	chocolate
内庭	chamber
圣人般的人（指特别善良、仁爱或有耐性的人）	saint
出港证	chop
事件	event	matter	occurrence	phenomenon	scene	thing	affair	incident
英行李	luggage
使人高兴的东西或人	delight
读法	pronunciation
医院	hospital
同等	equality
专有财产	peculiar
无力偿还债务者	bankrupt
五个	five
油	oil
褥草	litter
当事人	client	party	principal
鱼鳞	scale
水池	pool	sink
袋	bag
战役	battle	campaign
朴素	simplicity
页	leaf	page
水汽	vapour
政纲	politics
拼贴和构成派雕塑等拼凑而成的艺术品）	combine
儿童时代	childhood
微笑	smile
畜牧场	farm
告别	farewell
其他人员	remainder
永恒	forever
官吏	servant
土著人	native
生产力	productivity
冰糖	candy
前锋	forward
打盹	nap	nod
奥古斯特	August
办事员	clerk
严寒时期	freeze
损害	damage	harm	mischief	nuisance	injury	insult
无音讯	silence
[法]显示证据	discovery
第三档	third
香料	flavor	perfume
职责	duty	job	province	responsibility
卵	egg
卷	book	volume
许多	deal	hundred	lot	lump	multitude	sea	ton	twenty
（皮）疹	rash
外地人	stranger
透孔织品	lace
诙谐	humor
亲切友好的的人	darling
整个的藏书架排列	stack
[常用复数]在两末端的事物	extreme
婚礼	wedding
橡木家具	oak
花园	garden
[板]歪球	wide
半	half
午餐	lunch
失败之作	turkey
卖	sale
统治者	governor	ruler
有灵异能力的人	sensitive
索具	tackle
讽刺	dig	lash	salt	satire	irony
内地	inland	interior
（杯	lip
轮船	boat	steam	steamer
共同体	community
肋骨	rib
（精神上或肉体上的）折磨	torture
[电讯]天线	aerial
企业	establishment	firm
打包	packages
远行	voyage
不动的人	stationary
歌剧艺术	opera
后部	back	rear	afternoon
葡萄汁	must
胶片	film
高级中学	gymnasium
物	news
门闩	bolt
情感	emotion	affect
恐怖行为	terror
名词性单词	noun
设想	concept	fancy
轮子	wheel
牛	ox
牙	tooth
片	piece
好结果	success
风土	climate
讨厌鬼	pill
不尊重	disregard
鞠躬	bow	bow
有价证券	security
蓄电（瓶）	storage
爱打听的癖性	curiosity
同侪	peer
伟人	worthy
勇士	brave	hero	lion
吻	kiss
光点	radiant
文艺复兴时期（欧洲14、15和16世纪时	renaissance
芭蕾舞团	ballet
天体	globe	sphere
男主角	hero
运送	carry
听	listen
沉淀物	deposit
[计算机]主机	host
吨	ton
贴现	discount
（鞋	toe
[冶]渣壳	skull
装运	shipment
天使	angel
[电影]惊爆星期四	Thursday
治安推事	magistrate
桌布	cloth
哲学	philosophy
避难所	harbor	refuge	shelter
背叛者	traitor
美邻居	neighbor
排挡	speed
讨论	conference	counsel	debate
可怕的人	terrible
婴儿室	nursery
考证	criticism
意义	meaning	significance	value	import	intention
高速	velocity
龙头	cock
突发	burst
抱负	ambition
加固材料	reinforce
嗡嗡声	hum	zoom
带状地带（或森林、湖面等）	strip
耳垢	wax
折中物	compromise
弄翻	turnover
奋发	zeal
骨朵	bud
坏心境	mood
合唱队	chorus
一段时间	cycle	span	spell
〔古语〕仪态	gesture
底座	mount
家庭主妇	housewife
快速的旋运动	spin
特邀嘉宾	guest
相配的人（或物）	match
法衣	robe
价钱	cost	price
米	metre
鞣料	tan
相识	acquaintance
有指导意义的事物	guide
帝权	empire
妓女	tramp
信息	message	information
低水平	low
赢利	get	return
剩余额	surplus
幸运	fortune	mercy
古代的一种计量单位	talent
柠檬	lemon
墓碑	tomb
复数形式	plural
毛驴	donkey
谚语	saw
抵抗	resistance	stand
分给	assignment
[航]教练机	teacher
凉气	cool
乌合之众	mob
树林	wood
美口（防止泄密的）堵漏人员	plumber
偏远地区	wild
（警察为抓捕罪犯而设的）圈套	sting
外科医生	surgeon
树枝	branch
抵押	borrow	mortgage
负责人	director	principal
探查	probe
群体生态学	sociology
（不寄宿的）仆人	daily
[物]静电（干扰）	static
秩序	economy	order
美纸烟	cigaret
天地万物	universe
毒素	virus
口亲爱的	honey
移植物	transplant
领域	area	kingdom	realm	region	sector	territory	world	domain
樱桃	cherry
登陆护照	chop
过路人	passenger	passer-by
临近街坊	neighborhood
主题	argument	staple	subject	text	topic
主意	idea
（眼睛的）闪亮	twinkle
腐蚀	erosion
资本（或财富）的拥有	capitalism
被告席	dock
体罚	rod
提纲	outline
天线	antenna
地下通道	subway
〈英〉火车客车车厢	carriage
玩具	toy
（群居性昆虫）兵虫	soldier
（进行中的）行动	purpose
传说	fable	fame	legend	story	tale
紫铜色	copper
驾驭（法）	rein
讨厌	dislike
齿状部份	tooth
大学预科	gymnasium
（常用于室外的）金属烤架	barbecue
螺旋桨	screw
胭脂等化妆品	paint
经理	manager
口充沛的精力	vinegar
平民	citizen	civilian	common
欺骗（行为）	cheat
遗传因子	gene
平装书	paperback
热烈拥抱	hug
木炭	coal
驼背	stoop
直径	diameter
乡下房子	cottage
插入物	inlet	insert
害怕	fear
单人表演	solo
〈俚〉贿赂	grease
兽群	flock	herd
一大片（覆盖物）	sheet
学术团体	academy
追求	quest
中枢	centre	hinge	nerve
汽笛	siren	whistle
胜任	grip
劫持	hijack
深海	depth
爵士舞（曲）	jazz
所在地	seat
东南	southeast
避孕措施	precaution
落花（叶等）	shatter
膨胀物	expansion
衰退	ebb
女人本能	woman
[乐]和弦基音	root
神怪故事	myth
掣子	click
（男人的）女朋友	girl
啭鸣声：尖厉高音	whistle
原称苹果电脑公司	apple
实体	entity	reality	existence
[法律]（获得或更新租契时交纳的）地租	fine
字母表	alphabet
比	proportion	ratio
折痕	fold
大衣	overcoat	wrap
地势	geography
口妨碍	liability
宽大扁平的部分	broad
动词	verb
黄铜饰品（尤指马挽具上的黄铜圆片）	brass
中立国	neutral
人名地址录	directory
沙	sand
试衣	fitting
鸡冠状的东西	comb
〈集合词〉家禽	poultry
重要人物	great
美俚容易得到的称心东西	pie
宝座	throne
婚约	contract	engagement
命运的三女神	destiny
起联系作用的东西	bridge
电影业	cinema	movie
舒服	satisfaction
鄙视	scorn
娱乐场	resort
帝王	monarch
一点儿	ounce
正中	middle
小塞子	spill
追究	research	inquiry
时刻表	schedule
秋天	autumn
喷射器	gun
牢骚	beef
露面	appearance
空虚	vacuum	vanity
晒黑的皮色	tan
娱乐（方式）	recreation
远航	expedition
寂寞的心情	void
方块	diamond
屡屡引起争论（或分歧）的问题	football
赤字	deficit
硝化甘油炸药	soup
旅游	trip
大声叫	yell
配套元件	kit
传闻	fame	mouth	report	tell	whisper
南方人	southern
壮丽	glory
遗骸	dust
家族	family	kin	strain
拍手声	clap
扬声器	loudspeaker	speaker
遗赠	devise	legacy
[宗教][常用P-]特定节日等用的仪式	proper
钟摆	pendulum
（楼梯的）一级	stair
受话器	telephone
（书页等的）上栏	top
水坝	dam
户	door	household
水坑	basin
回报	carrot
戳	poke
提问	quiz
（火车的）餐车	buffet
考古发掘	dig
水手间的亲密称呼〕	mate
香精	essence
（出版物的）版式	format
大步	stride
电池	cell
诗节	verse
侵袭	invasion
鱼肉	fish
巨物	giant
护膜	overcoat
马鞍	saddle
猛冲	dash
小道	track
零售	retail
围篱	pale
那时	then
（部队的）检阅	parade
国际组织	international
快餐	snack
供养	keep
教学方法	classroom
（旧时载客的）四轮马车	carriage
最好者	primary
评论文章	criticism
俭省	spare
旋律	melody
[语]集合名词	collective
界	kingdom	realm	region
控制（权）	rein
灰尘	dust
鲜明特征	signature
猜想	perhaps
排演	rehearsal
[数]除法	division
可听到的声音	audio
鸽子	pigeon
产品样本	catalog
注册	register
饲料	keep
稻米	rice
罗马法典	digest
[生]幼芽	germ
时候	when
发言权	say	say	voice
参加狩猎旅行的人	hunt
上诉	appeal
草莓色	strawberry
礼拜	worship
发现者	detector
[机]装配	assembly
长队	queue
胡说	nonsense
减少量	decrease
按钮	button
导师	tutor
不受欢迎的人	dog
[计]（鼠标）点击	click
养成所	nurse
读物	read	reading
村庄	ham	village
发光体	light
材料	data	material	stuff	substance
（分享到的或贡献出的）一份	share
签名册	album
无风	calm
（系船的）缆绳	painter
[航]翼肋腹部	loom
田	field
赝品	fake	sham
奇特粗俗的语言[方言]	jargon
男	male
欢呼	applause	cheer
（某企业的）经营者	operator
明细表	schedule
贵重物品	valuable
自由	freedom	liberty
得益	profit
乡下的全体居民	countryside
声音渐强	swell
夸脱（液体或固体的容积单位）	quart
下有多个分社的旅行社	multiple
部件	member	section
约定	engagement
一块[茶匙等]糖	sugar
往昔	yesterday
[艺]通感	correspondence
银河系	galaxy
模式	model	pattern
五十个人	fifty
[女子名]琼	June
苦难	rough
导管（套管的一种）	conductor
唤回	recall
曲线	curve
（尤指）企图杀害	attempt
社群	society
复位	replacement
忽视	overlook	slight	disregard
[体]（网球等的）扣杀	overhead
[医]发病	invasion
起限制作用的规则（或事实、条件）	limitation
约等于3英里）	league
航行距离	sail
起保护（或缓冲）作用的事物	cushion
大便	stool
（开掘等时挖出的）弃土	spoil
[植]盔状花冠	helmet
芭蕉属植物	banana
繁重、耗力的劳动	sweat
旧时在英国使用的金币	noble
聪颖	intelligence
物质世界	outward
立方体	cube	solid
苦味物	bitter
对立方	contrary
残酷的人	butcher
马克思主义者	Marxist
伟业	feat
交易	bargain	business	buy	market	transaction	exchange
引体向上动作	chin
物主	owner
（系船用的）缆绳	cable
英〉硬海滩	hard
谷类植物	cereal
保证	guarantee	pledge	security	assurance
狐	fox
（通常反对变革的）当权派	establishment
速记法	shorthand
神召	vocation
非正已婚的年轻人	married
邮递员	mail	postman
公务员	officer	official	servant
西装	suit
恶人	monster
起源	birth	germ	origin	parent	seed
食堂	canteen	mess
替换品	spare
隐约的一点点	ghost
默认	allowance
叶状的结构	leaf
大学教师	academic
人力[数]	strength
默许	allowance
静思	retreat
属性	attribute	property
对…有了解	acquaintance
警察局长	prefect
债券	bond
牛奶	milk
溅上的斑点	splash
视觉	eyesight	vision
电台、电视节目	broadcast
说某种语言的	phone
视角	viewpoint
越过	pass
指挥	command	direction
准许	consent	permit
（政府等的）机关	machinery
暗礁	shelf
[复数]（颜色、织料、式样等配合协调的）女套服	coordinate
炫耀	glare	display
战壕	trench
其次	then
敌意	hatred
显示屏	monitor
体格	build	constitution
暗示	cue	hint	suggestion
（商品定价、贷款利息等以外的）加价	premium
（人或物的）特征	attribute
电话联络	call
支配权	control
美候选人名单	ticket
[法律]（对土地、水域的）共有权	common
狐狸	fox
计划大纲	blueprint
伯父	uncle
（药的）一服	dose
彩车	float
进展	stride
[美国口语]棒球	apple
[语法]主动语态	active
仇恨	hatred
梳子	comb
醒悟	dawn
入门	alphabet
欧洲大陆	continent
沙滩	sand
冲突	clash	collision	conflict	encounter	friction	strife	warfare	interference	interference
交通工具	vehicle
岸	shore
愚人	fool
自治国	autonomy
拍子	tempo
元气、志气	spirit
人质	hostage
匆忙赶路的人	poster
平均数	mean
[复数][合同、契约用语]上述各点	premise
优先	priority
[物]合量	resultant
工业技术	technology
代（约30年）	generation
眩惑	dazzle
斋戒期	fast
[哲]理念	idea
诗意	poetry
〈口〉超音速飞机	supersonic
滞留	retention
谋反	treason
交际	conversation	traffic	intercourse
名望	fame	reputation
被废弃的事物	obsolete
南部	south
〈美〉（各州众议员）选举区	district
法规	legislation	prescription	statute
不动产权	estate
面上的）参差不齐	jog
征服	conquest
〈非〉嘲笑	shaft
论坛	forum
晶体锆灰色	jargon
怪物	monster
了解	knowledge	understanding
悲剧式作品	tragedy
股市看涨的人	bull
虚构的文学作品	fiction
俚破车	heap
王冠	crown
打手	bully
岩脉	vein
姑妈	aunt
袭扰	harassment
爱抚	caress
thegiggles止不住的格格笑	giggle
铅笔	pencil
（击高尔夫球的）楔形铁头球棒	wedge
功勋	merit
租契	lease
继任者	representative	successor
鞭伤	whip
醋	vinegar
电输入端	input
推销员	salesman
兴奋感	thrill
正派人	christian
打扫	clean	sweep
明暗	tone
洒出（量）	spill
跟球打法（使竿击的球在击中目的球后继续滚动的打法）	follow
硬外皮	crust
水泥	cement
顾客	client	customer	patron
丝毫	damn
水泡	bubble
硬壁回力球	racket
化肥	fertilizer
保龄球运动	bowling
赃物	theft
橙子	orange
货运列车	freight
加重值	weight
基本要素	essential
滑坡	coast
采用	introduction
（法院、法官的）判决	award
白话	bat
楼上	upstairs
信赖	reliance
肉排	steak
[无线电]（电磁波等）脉动	pulse
废料桶（装工地废料	skip
皱纹	wrinkle
排列方向	orientation
古柯碱	cocaine
停滞期	plateau
慈悲	grace
声音回路	audio
歌	lay
可供选择的事物	alternative
充溢	overflow
梗概	analysis	outline	skeleton	sketch
流线型	streamline
罢工[课	strike
晚年	evening
红利	bonus	profit	dividend
被踢来踢去的难题	football
试件	coupon
风景	scene	scenery	view
胃口	appetite	belly
舆论的裁决	jury
直径长	diameter
[复数]（高尔夫球一对一的）二人对抗赛	single
主动精神	initiative
耐久品	durable
画廊	gallery
虚礼	ceremony
亲爱的教友	beloved
注意事项	hint
正	true
演员表	cast
内部	bowel	within	inner	interior	inward
地毯状覆盖物	carpet
上层集团	elite
授给物（如财产、授地、专有权、补助、拨款等）	grant
黑话	jargon
沿革	story
静力学	static
乡下	country
味道	relish
皇家陆战队兵士	jolly
跳动锤	tilt
衣服	array	clothes	clothing	costume	dress	garment	stitch
恣意	fling
连贯	flow
形似	resemblance
辩护人	counsel
一步	pace	tempo
先知	prophet
胡椒粉	pepper
决定因素	parameter
美人	beauty	fair	lovely
信任	belief	confidence	faith	reliance	trust
熟练者	expert
万有	universe
斯坦恩	stern
（保险公司的）保险	cover
[物]光线锥	pencil
贮存器	storage
质疑	challenge
信仰	persuasion	profession
纪念物	memorial
信件	correspondence
（尤指比赛或游戏中）投掷	toss
胸部	bosom	breast	chest	heart
社会事业机构	institution
光泽剂	polish
通风口	outlet
步枪	rifle
补充兵员	replacement
输出	output	export
统治集团	hierarchy
养老院	hospital
涌现的人（或事物）	wave
临死的挣扎	agony
核心	core	machine	nucleus	quick
（意见等的）一致	consent
照顾	care	consideration
〔建〕钢筋混凝土	concrete
水雷	mine
皇帝	emperor
模糊的感觉	glimpse
鼻子	nose
糖	sugar
[会]小额	petty
潮汐	tide
彩票	lottery
美软烤饼	biscuit
[建]遮檐	opaque
追寻者	pilgrim
（高尔夫球场的）深草区	rough
污水坑	sink
暂时	season
发出臭气的人[东西]	smell
宣称	profession
招贴	poster
五色缤纷	riot
系	department	faculty
回复	feedback
〈罕〉近亲	vicinity
阿斯（古罗马重量单位	as
特效药	specific
弹药库	magazine
保护层	overcoat
一大罐（壶）的容量	jug
发射台	pad
强调	emphasis	stress	accent
毛骨悚然	creep
队伍	procession
万有引力	gravity
眼睫毛	lash
[宗]（弥撒的）序诵	preface
倒闭	failure
烤肉	barbecue	roast
慈善（行为）	charity
指引	leadership
[建]基底	basement
指望	promise
不屑一顾	scorn
〈俚〉可可粉	thick
好的珍珠	orient
游说团	lobby
讨厌的人（或事物）	beast
金属块（锭）	pig
日晷	dial
退兵信号	retire
外胎	shoe
流域	basin	valley
运输量	traffic
（可当作新闻内容的）人	news
客套话	formula
剪切	shear
操练	drill
些微	fraction	hair
口压力	squeeze
森林	forest
（容量单位）升	litre
（胸罩的）罩杯	cup
（四足动物的）后脚	heel
有意义的事物	significant
[电]故障	fault
沉思	meditation
纪念碑	memorial	monument
大米	rice
样子	look	manner
打趣话	wit
护士	nurse	sister
规律	law	rhythm
拱形物	arch
冠军	champion
被盗	theft
伤心	anguish
主要演员	principal
重复	repeat	repetition
困扰	disturbance
〈俚〉避孕套	safe
意志（力）	will
滑雪板	ski
侵蚀	erosion
（啤酒）杯	jar
荡妇	baggage
[计]（软件的）套件	suite
尽头	bottom
大行政区	province
产量	crop	output	produce	production	yield
行为）麻烦事	nuisance
嬉闹	fun
疔	boil
分类人事广告版	personal
避难	refuge
离合器	clutch
（职位的）空缺	opening
〈口〉屁股	behind
大约的程度或者数量	vicinity
驿站	stage
科学	science
（速度等的）平均率	average
（词之间性、数、人称方面与…）一致	agreement
[theother]对立面	other
环形广场	circus
酸味	sour
检查	survey
（正式）讨论会	conference
发行物	issue
幼苗	offspring	shoot
惯例	convention	custom	manner	practice	tradition	usage	institution
一番	dose
平安	safety
借款	loan	advance
飒飒声	whisper
熊猫	panda
山冈	hill
打洞器	punch
开场白	whereas
[物]基频	fundamental
呼吸器官	lung
苔藓	moss
判例	case
活页文选	pamphlet
阔人	wealthy
纺]落纤	tow
银制品	silver
[植]雄性植物	male
燃料	fuel
惊奇	surprise	wonder
需求	demand	market
容易的工作	pie
（美国）东南部	southeast
潜艇	submarine
暴乱	riot
单程票	single
反败为胜	rally
脉搏	pulse
军服	uniform
入口处	entry
自动机	robot
种类	breed	category	class	description	feather	species	stripe	variety
皮靴	boot
物质的化学组成（或性质）	chemistry
颤音	quiver
交响乐	symphony
获利	proceed
晴天	fine	sunshine
笑容	smile
（反应）产物	resultant
排列	combination	disposal
（四周有围墙的）拍打回力网球	racket
卫生间	bathroom
涨潮	flow
含蓄	implication
无表示	silence	silence
随员	attendant	servant
累赘	bother	drag
叛逆者	rebel
宣言	declaration	testimony
〈美〉拳击场	saucer
方式	fashion	form	how	manner	mode
面貌	aspect	feature
抽象派艺术作品	abstract
节日	day	festival	holiday
放纵	abandon
品位	style
[航]系缆柱上的一圈缆索	bitter
克服	victory
棘刺	thorn
款项	clause	money
债务	debt	liability	obligation
尤指计算机或计算机系统的）崩溃	crash
侵略	invasion
金属丝	wire
统计	census
主权	majesty
内景	interior
裙子	skirt
抗力	resistance
球门	goal
自由党党员	liberal
有害动植物	pest
塞壬（古希腊传说中半人半鸟的女海妖	siren
脚尖	toe
主动权	initiative
假期	leave	vacation
引起麻烦的人	problem
门道	doorway
收容所	hospital
书屋	library
光亮	shine	sparkle
管区	beat
咬伤	bite
粉红色	pink	rose
存货总值	inventory
周转率	velocity
印制的广告	circular
防腐剂	resist	resistant
（由底片印出的）照片	print
施肥	feed
[马术]环骑	volt
漂亮的姑娘	doll
懂道理的人	rational
推	push	shove
节约	economy	saving	thrift
驱除	destruction
饿	hunger
[电]电阻丝	element
工程师行业	engineering
航空	aviation	voyage
俚脸	mug
饵	bait	gentle
王子	prince
饭	meal
任职期	tour
资本	capital
空话	talk
马累[马律]	male
舞台布景	scenery
一推	dig
晚饭	supper
保留	hold	reservation	retention
一掠	glance
褒奖	recognition
星期日报	Sunday
整个	whole
电视节目的总安排（或计划）	format
恭喜	congratulation
通勤来往	commute
头脑简单的人	innocent
高尚	dignity
马克杯	mug
远征军	expedition
勋章	medal
帆状物	sail
驾驶员	driver	mate	operator
脚蹬子	pedal
一批（同类事物或出售的货品）	bundle
制服	uniform
一排	procession
基本事实	ultimate
爱意	love
全市居民	city
不认识的人	stranger
尤指青少年的）野营地	camp
触觉	feel	touch
兽栏	pound
触角	horn
[数]分数	fraction
小窍门	tip
退税	drawback
[逻辑学]小前提	minor
明显	evidence
共产主义	communism
下部	underneath
羽毛球运动	badminton
混乱	chaos	complication	confusion	mess	riot	scramble	tangle	tumble	upset	disorder
没价值的东西	mud	pin
[英史]专横政策	thorough
维修	maintenance
〈美〉（委员）代理人	alternate
急速	haste
竞选提神（或兴奋）剂（一种健怡可乐	fuel
闭尿	retention
（机器、设备等的）操作员	operator
兵权	sword
空旷	open
统治权	majesty
绳索链条	tug
水库	dam
[航海]顶桅帆	royal
污垢	dirt
即将（或刚刚）结婚的女子	bride
约束	repression
[机]从动装置	slave
业务	business	transaction
那	those
羔羊	lamb
社交聚会	party	social
化钙	calcium
物理现象	physics
高涨的情绪	electricity
被极度崇敬的人[物]	god
团体	army	body	commonwealth	corporation	fellowship	gang	group	organization
咯咯的笑	giggle
叹气	sigh
水流	current
依法必须登报的声明	legal
新设施	innovation
废品	spoil	waste
寄存品	deposit
房间	apartment	room
安心	peace	relief
（身体或精神上）受到严重损伤的人	wreck
谢谢	thank
（郡、镇等）政务会	council
大众	multitude	public
隐居	privacy
〈英俚〉（主考人评定）不及格	plough
美衣	luxury
流行病	epidemic
声称	claim
本性	self	sort	interior	internal
着魔	obsession
[法]遗嘱	will
剑	blade	sword
瑕疵	bug	defect	flaw	stain	vice
剁	chop
狭长切口	slit
铅板	stereo
分界线	barrier	boundary	divide
低声说的话	aside
仗势欺人者	bully
独立	independence
烘焙	bake
技师	engineer	technician
肥肉	fat
下划线	underline
问答题	dialog
无限的事物	infinite
打倒	overthrow
同事	brother	colleague	mate
（非正式）创意人士	creative
听写	dictation
原本	blueprint
[乐]乐音	tone
（总体、层次）结构	architecture
海域	water
帮助	assist	assistance	boost	hand	help	aid
周六	Saturday
智慧	brain	mind	wisdom	wit
