abdomen	n.腹，下腹(胸部到腿部的部分)
inhale	v.吸入(气体等)，吸(烟)
inherent	a.固有的,内在的,天生的
inherit	vt.继承(金钱等)，经遗传而得(性格、特征)
inject	vt.注射(药液等)；注入
inlet	n.水湾,小湾;进口,入口
inn	n.小旅馆,客栈
innocent	a.(of)清白的,无罪的;无害的;单纯的,无知的
innovation	n.改革，革新；新观念，新方法，新发明
innumerable	a.无数的,数不清的
insect	n.昆虫
inspect	vt.检查,调查,视察
inspiration	n.灵感;鼓舞,激励
inspire	vt.鼓舞,激起;使产生灵感
instantaneous	a.瞬间的,即刻的
instinct	n.本能,直觉,天性
institute	n.学会,研究所;学院 v.设立,设置,制定
institution	n.公共机构;协会;学校;研究所;制度;惯例
insulate	vt.隔离,孤立;使绝缘,使绝热
insult	vt./n.侮辱,凌辱
intelligible	a.可理解的，明白易懂的，清楚的
intercourse	n.交流,交往,交际,性交
interfere	v.(in)干涉,干预;(with)妨碍,打扰
interference	n.(in)干涉,干预;(with)妨碍,打扰
interim	a.中间的,暂时的,临时的 n.过渡时期,暂定
interior	a.内部的,里面的 n.内部,内地
intermittent	a.间歇的,断断续续的
interrupt	v.中断,遮断,阻碍;打断(话),打扰
intersection	n.相交，交叉；道路交叉口，十字路口
intervene	v.(in)干涉,干预;插入,介入
intimidate	vt.胁迫，威胁(某人做某事)
intricate	a.复杂的,错综的,难以理解的
intrigue	n.阴谋v.密谋,私通;激起…的兴趣;诡计取得
intrinsic	a.(指价值、性质)固有的，本质的，内在的
intuition	n.直觉，直观；凭直觉而知的事物
invade	vt.入侵,侵略,侵袭,侵扰
invasion	n.入侵,侵略,侵犯
invent	v.发明,创造;捏造,虚构
invention	n.发明,创造,发明物
inventory	n.详细目录,存货,财产清册,总量
invitation	n.邀请,招待;请柬
inward	ad.向内,在内 a.向内的,在内的,里面的
irrigate	vt.灌溉，修水利 vi.进行灌溉
jam	n.阻塞,轧住;果酱 v.(使)阻塞,(使)轧住不动
jeans	n.牛仔裤（又称blue jeans, dungarees等）
jewel	n.宝石,宝石饰物
jug	n.(有柄，小口，可盛水等的)大壶，罐，盂
juice	n.(水果等)汁,液
junk	n.废物，旧货；舢板
kilo	n.(kilogram/kilogramme)千克
knock	v.敲,敲打,碰撞 n.敲,击
lace	n.花边;带子,鞋带 v.系带,扎带
lag	v./n.落后,滞后 vt.用隔热材料覆盖(锅炉等)
lash	v.鞭打,摆动,捆扎 n.鞭子,鞭打,睫毛,讽刺
latent	a.潜在的,潜伏的,不易察觉的
lateral	n.侧面的,旁边的
laughter	n.笑,笑声
laundry	n.洗衣房(店);待洗衣物,所洗衣物
lavatory	n.厕所,盥洗室
lawyer	n.律师
layman	n.外行
layoff	n.临时解雇,操作停止,活动停止期间,失业期
layout	n.安排，布局，设计；规划图，布局图
leaflet	n.小叶,嫩叶;传单,活页
lean	v.倾斜,屈身;倚,靠,依赖 a.瘦的,无脂肪的
leap	v.跳,跳跃 n.跳跃,飞跃
learned	a.博学的,有学问的
learning	n.知识,学问;学习
lease	vt.出租,租用 n.租借,租期,租赁物
leather	n.皮革,皮革制品
lecture	n./v.演讲,讲课
legacy	n.遗产，遗赠；先人(或过去)留下的东西
legislation	n.法律(规)；立法，法律的制定(或通过)
legitimate	a.合法的；合理的，合乎逻辑的 vt.使合法
lens	n.透镜,镜头
lest	conj.惟恐,免得
liberal	a.慷慨的,大方的;富足的;自由的,思想开放的
liberate	vt.解放,释放
liberty	n.自由，自由权；特权
librarian	n.图书管理员
lick	vt.舔；(火焰或浪)掠过；打败 n.舔；少量
lid	n.盖
limb	n.肢,翼,大树枝
limp	a.柔软的,易曲的 v./n.蹒跚,跛行
linen	n.亚麻布,亚麻布制品
liner	n.班机,定期轮船,邮船
lip	n.嘴唇
liquid	n.液体 a.液体的,液态的
liquor	n.酒；溶液，液剂
literacy	n.有文化,有教养,有读写能力
literature	n.文学,文学作品,文献,图书资料,印刷品
litre	n.(liter)升；公升(容量单位)
litter	n.垃圾,(杂乱的)废物 v.使杂乱,乱丢
liver	n.肝,肝脏
loaf	n.一个面包
locomotive	n.机车,火车头 a.运动的,移动的,运载的
lodge	v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆
lorry	n.卡车,运货汽车
lottery	n.抽彩；碰运气的事，难于算计的事
lounge	n.休息室,起居室,客厅
loyal	a.(to)忠诚的,忠贞的
loyalty	n.忠诚,忠心
lubricate	v.润滑,加润滑油,行贿,收买
luggage	n.行李,皮箱
lumber	n.木材,木料
lump	n.团,块 v.(使)成团,(使)成块
lunar	a.月亮的
lunch	n.午餐，(美)便餐
lung	n.肺
lure	n.吸引力,魅力,诱惑物 vt.引诱，吸引
machinery	n.(总称)机器,机械
mad	a.发疯的;狂热的,着迷的;恼火的,生气的
madame	n.(madam)夫人，太太，女士
magistrate	n.地方行政官，地方法官，治安官
magnificent	a.华丽的,高尚的,宏伟的
maid	n.少女,处女,女仆
maiden	n.少女,处女 a.未婚的,纯洁的,无经验的
majesty	n.雄伟,壮丽,庄严,威严;最高权威,王权
malignant	a.恶性的，致命的；恶意的，恶毒的
mammal	n.哺乳动物
maneuver	n.(manoeuvre)机动;运用,操作; v.机动
manifest	v.表明,证明,显示 a.明白的,明了的
mankind	n.人类
marble	n.大理石,云石
marine	a.海的,海生的;船舶的,航海的
marital	a.婚姻的,夫妻之间的
marriage	n.结婚,婚姻;结婚仪式
marvelous	a.(marvellous)惊人的,奇迹般的,妙极的
masculine	a.男性的，似男性的；［语法］阳性的
mass	n.大量,众多;团,块;(pl.)群众,民众;质量
massacre	vt.残杀,集体屠杀 n.残杀,大屠杀
massive	a.大而重的,厚实的,粗大的;大规模的,大量的
masterpiece	n.杰作,名著
mat	n.席子,垫子
match	n.火柴;比赛,竞赛;对手,配偶 v.匹配,相称
mate	n.伙伴,同事,同伴,配偶 v. 结伴,配对,交配
mature	a.成熟的,熟的;成年人的 v.(使)成熟
meadow	n.草地,牧场
meal	n.膳食,一餐
meantime	n.(meanwhile)其间,其时 ad.同时,当时
meanwhile	n.其时，其间 ad.当时，与此同时
mechanic	n.技工,机修工
mechanical	a.机械的,由机构制成的;机械似的,呆板的
mechanism	n.机械装置,机构;机制
medieval	a.中世纪的,中古(时代)的,老式的,原始的
meditate	v.想,考虑,(尤指宗教上的)沉思,冥想
meditation	n.熟虑;(尤指宗教的)默想,沉思;(pl.)冥想录
melody	n.旋律，曲调；悦耳的音乐
melon	n.甜瓜
memo	n.(memorandum)备忘录
memorial	a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆
menace	vt./n.有危险性的人(或物)；威胁，威吓
mental	a.精神的,思想的,心理的,智力的,脑力的
mention	v./n.提及,说起
merchandise	n.商品,货物
mercury	n.水银,汞
mercy	n.仁慈,怜悯,宽恕
mere	a.纯粹的;仅仅,只不过
merit	n.优点,价值,功绩 v.值得,应得
mess	n.混乱,混杂,脏乱 v.弄脏,弄乱,搞糟
metal	n.金属,金属制品
metaphor	n.隐喻，暗喻
metre	n.(meter)米，公尺；仪表，计量器
metric	a.米制的,公制的
metropolitan	a.首都的,主要都市的,大城市
migrate	v.迁移,移居(国外)
militant	a.好战的，富于战斗性的 n.斗士
military	a.军事的,军用的,军队的
mill	n.磨粉机,磨坊;作坊,工厂
millimeter	n.(millimetre)毫米
millionaire	n.百万富翁
mineral	n.矿物,矿石 a.矿物的,矿质的
miniature	n.缩小的模型,缩图 a.微型的,缩小的
minister	n.部长,大臣
ministry	n.(政府的)部;牧师
minor	a.较小的,较小的 n.兼修学科 v.(in)兼修
minority	n.少数,少数派,少数民族
minute	n.分钟,片刻;(pl.)会议记录 a.微小的
mischief	n.损害,伤害,危害;恶作剧,胡闹;灾祸
miserable	a.痛苦的,悲惨的
misery	n.痛苦,悲惨,不幸
misfortune	n.不幸,灾祸,灾难
missile	n.导弹,发射物
mission	n.使命,任务;使团,代表团
mist	n.薄雾,霭
mistress	n.女主人;主妇;情妇,情人
moan	n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹
mob	n.乌合之众(尤指暴力者) vi.围攻，聚众闹事
mobilize	v.(mobilise)动员,赋予可动性
mock	v.嘲笑 a.假的,模拟的 n.(常pl.)模拟考试
modest	a.谦虚的,有节制的
moisture	n.潮湿,湿气,湿度
molecule	n.分子
momentum	n.动力,要素
monarch	n.帝王，君主，最高统治者
monetary	a.金融的,货币的
monotonous	a.单调的,无变化的
monument	n.纪念碑,纪念馆,遗迹,不朽的业绩
mood	n.心情,情绪;语气
moral	a.道德(上)的,精神上的 n.寓意,教育意义
morality	n.道德,美德
moreover	conj./ad.再者,加之,而且
mortal	a.致命的;终有一死的;人世间的 n.凡人
mosaic	n.马赛克;镶嵌体
mosquito	n.蚊子
moss	n.苔,藓,地衣
most	a.最多的；大多数的 ad.最；极其 n.大多数
mostly	ad.几乎全部地;主要地,大部分,基本上
mould	n.(mold)模子，铸型 v.浇铸，造型，塑造
mount	v.登上;安装n.支架,底板;(用于山名前)山峰
mourn	v.哀悼,忧伤
mug	n.(有柄的)大茶杯
municipal	a.市(立,政)的;地方性的,地方自治的
murmur	v./n.小声说(话);小声抱怨,咕哝
muscular	a.肌肉的;肌肉发达的;强健的
mushroom	n.蘑菇 vt.迅速生长,迅速增加,采蘑菇
mute	a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音
mutter	n.喃喃而语,小声低语;抱怨 v.低声说,抱怨
mutton	n.羊肉
mutual	a.相互的，彼此的；共同的，共有的
naked	a.裸体的,无遮敝的,无掩饰的
nap	n.小睡,打盹
napkin	n.餐巾,餐巾纸,<英>尿布
narrative	a.叙述性的 n.叙述
nasty	a.肮脏的,卑劣的,下流的;令人厌恶的
natural	a.正常的;自然界的,天然的,天赋的,固有的
naughty	a.顽皮的,淘气的
naval	n.海军的,军舰的
neat	a.整洁的,干净的,优美的,精致的
necessitate	v.使成为必要,需要
necessity	n.必要性,需要;必然性;(pl.)必需品
needle	n.针,指针,针状物
nephew	n.侄子,外甥
neutral	a.中立的;中性的,中和的
nickel	n.镍;镍币;五美分
niece	n.侄女,甥女
noble	a.高尚的;贵族的,高贵的 n.贵族
nonsense	n.胡说,废话
noon	n.中午，正午
nor	conj.／ad.也不，也没有
notorious	a.臭名昭著的,声名狼藉的
notwithstanding	prep./ad./conj.尽管
nurture	n./v.养育,教育,教养 n.营养品v.给与营养物
nut	n.坚果;螺母,螺帽
o'clock	ad.(…)点钟(与1至12数字连用)
odor	n.(odour)气味,香味,臭味,名声
opt	vi.抉择，选择
optimum	a.最适宜的 n.最适宜(条件)
orbit	n.轨道 v.(使)沿轨道行
orchard	n.果园,果园里的全部果树,<美俚>棒球场
orchestra	n.管弦乐队
orderly	a.整齐的,有秩序的,有条理的 n.勤务兵
ordinary	a.普通的,平凡的,平常的;平庸的
ore	n.矿石,矿砂
organ	n.器官;机构,机关;风琴
organic	a.器官的;有机的;有机体的
organism	n.生物，有机体
orient	n.东方,亚洲 v.使朝东,为…定位,使适应
oriental	a.东方的,东方诸国的 n.东方人
orientation	n.方向,方位,定位,倾向性,向东方
orphan	n.孤儿
outbreak	n.(战争,愤怒,火灾等的)爆发,(疾病的)发作
outfit	n.用具,机构,全套装配 v.配备,(得到)装备
outing	n.外出,旅行,散步
outrage	n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸
outset	n.开始,开端
outside	ad.向外面 n.外部 a.外部的 prep.在…外
outskirts	n.郊区
outstanding	a.突出的,显著的,杰出的
outward	a.外面的,公开的,向外的ad.向外,在外n.外表
oval	a.卵形的，椭圆形的 n.卵形，椭圆形
oven	n.炉,灶,灶箱
owe	v.欠(债等),应向…付出,归功于,得感谢
owing	a.欠的,未付的
owl	n.猫头鹰
ozone	n.臭氧；(海岸等的)新鲜空气
packet	n.小包裹,小捆;盒;一捆,一扎;邮船,班轮
pact	n.合同,条约,公约,协定
paddle	n.桨 v.用桨划
pail	n.桶, 提桶; 一桶的量
pain	n.痛,痛苦;(pl.)努力,劳苦 vt.使痛苦
paint	n.油漆,颜料 v.油漆;涂,涂漆;画;描绘,描述
painter	n.漆工,画家
pair	n.一对,一双;一副;夫妇 v.配对,成对
pale	a.苍白的,灰白的;浅的,暗淡的
pamphlet	n.小册子
panorama	n.全景,全景画,全景摄影,全景照片[装置]
pant	n.喘气 v.喘,气喘吁吁地说
pants	n.裤子, 短裤
parachute	n.降落伞 v.跳伞
parade	n./v.游行,夸耀n.检阅,阅兵式v.使列队行进
paradigm	n.典范; 范例; 示例
paradox	n.似非而是的话,自相矛盾的话,反论
paragraph	n.段,节;小新闻,短评
paralyze	v.(paralyse)使瘫痪(麻痹);使丧失作用
parasite	n.寄生虫,食客
parcel	n.包裹,邮包,部分 v.打包,捆扎,分配
pardon	n.原谅,宽恕;请再说一遍 v.原谅,饶恕,赦免
parent	n.父母,母亲;(pl.)双亲;父母
parliament	n.国会,议会
particle	n.粒子,微粒;极小量;小品词,虚词
partly	ad.部分地,不完全地,在一定程度上
partner	n.合作者,合伙人,合股人,伙伴,舞伴,配偶
passer-by	n.(pl.passers-by)过路人
pasture	n.牧草地,牧场
pat	v./n.轻拍,轻打,抚摸
pathetic	a.可怜的, 悲惨的
patience	n.耐心,忍耐
patient	a.有耐心的,能忍耐的 n.病人,患者
patriotic	a.爱国的
patrol	v.巡逻，巡查 n.巡逻，巡查；巡逻队
patron	n.赞助人；资助人；老顾客，老主顾
paw	n.爪
pea	n.豌豆
pearl	n.珍珠
peasant	n.(不用于英国或美国)小农;佃农;农民
pebble	n.卵石
peculiar	a.古怪的,异常的;特殊的,特有的
pedal	n.踏板 v.踩踏板,骑自行车
pedestrian	n.步行者 a.徒步的,呆板的,通俗的
peel	v.削皮,剥皮 n.果皮
peep	v.偷看,窥视
penalty	n.处罚,刑罚,惩罚,罚金
pendulum	n.摆,钟摆
pension	n.养老金,年金
pepper	n.胡椒粉,胡椒;辣椒
per	prep.每;经,由
perceive	v.察觉,感知;理解,领悟
perfume	n.香味,芳香;香料 v.使发香,洒香水于
perish	v.丧生;凋谢;毁灭,消亡
permanent	a.永久的,持久的
permeate	v.弥漫，遍布，散布；渗入，渗透
perpetual	a.永久的,永恒的,长期的
perplex	v.使困惑,使费解,使复杂化
persecute	v.迫害
persevere	v.坚持,坚忍,不屈不挠
persist	v.(in)坚持,持续
personnel	n.全体人员,全体职员;人事(部门)
persuade	v.说服,劝说;(of)使相信
persuasion	n.说服,说服力
pessimistic	a.悲观(主义)的
pest	n.害虫
petition	n.请愿书,申请书 v.(向…)请愿,正式请求
petty	a.小(器、规模)的,不重要的,细微的,卑鄙的
pharmacy	n.药房,药剂学,制药业,配药业,一批备用药品
picnic	n.野餐 v.(去)野餐
pigeon	n.鸽
pilgrim	n.(在国外)旅游者;朝圣者,最初的移民
pill	n.药丸
pillar	n.柱,台柱,栋梁
pilot	n.飞行员;领港员 v.驾驶(飞机等);领航,引水
pin	n.钉;大头针,别针,徽章 v.(up)钉住,别住
pinch	v.捏,掐,拧;收缩;紧急关头;匮乏;压力
pine	n.松树
pint	n.品脱
pioneer	n.先驱,倡导者,开拓者
pirate	n./v.海盗,盗版(者)
pistol	n.手枪
piston	n.活塞
pit	n.坑,陷阱;煤矿,矿井
pitch	n.沥青;掷 v.用沥青覆盖;投掷,扔
place	n.地方;名次;地位;寓所 v.安排;放置;投(资)
plague	n.瘟疫,灾害,麻烦,苦恼 vt.折磨,使苦恼
plain	a.明白的;朴素的;坦率;平凡 n.平原,旷野
planet	n.行星
plantation	n.种植园
plausible	a.似是而非的,似乎合理的,似乎可信的
plea	n.(法律)抗辩；请求，恳求，托词，口实
plead	v.恳求,请求;为…辩护;提出…为理由
pledge	n.誓约;保证 v.发誓;保证
plentiful	a.富裕的,丰富的
plot	n.秘密计划;情节 v.标绘,绘制;密谋,策划
plough	n.(plow)犁,耕地,犁过的地 v.犁,费力地前进
plug	n.塞子,插头 v.堵,塞,插上,插栓
plumber	n.(装修水管的)管子工
plunge	v.(into)(使)投入,(使)插进,陷入;猛冲
plural	a.复数的 n.复数
pneumonia	n.肺炎
poetry	n.诗歌,诗集
pole	n.柱,杆;地极,磁极,电极
pollute	v.弄脏,污染
pollution	n.污染
pond	n.池塘
ponder	v.沉思,考虑
pope	n.罗马教皇,主教,大腿上要害部位
porcelain	n.瓷器 a.精制的,瓷器的
porch	n.门廊,入口处
pork	n.猪肉
portable	a.轻便的,手提(式)的,可移动的
porter	n.守门人,门房,行李搬运工,服务员
portion	n.一部分,一份
portrait	n.肖像,画像
portray	v.描写，描述；画(人物、景象等)
possess	v.占有,拥有
possession	n.持有,拥有;所有权;所有物;(pl.)财产,财富
possibility	n.可能,可能性;可能的事,希望
postage	n.邮费,邮资
postcard	n.明信片
posture	n.姿势,姿态,心态,态度 v.作出某种姿势
poultry	n.家禽
pound	n.磅;英镑 v.(连续)猛击,(猛烈)敲打,捣碎
poverty	n.贫穷,贫困
powder	n.粉末,药粉;火药,炸药
preach	v.宣讲(教义),布道;竭力鼓吹,宣传;说教
precaution	n.预防,谨慎,警惕
preclude	v.排除,阻止,妨碍
preferable	a.(to)更可取的,更好的
preference	n.(for,to)偏爱,喜爱;优惠;优先选择
prejudice	n.偏见,成见;损害,侵害 v.使抱偏见,损害
preliminary	a.预备的,初步的
premier	n.首相,总理
premise	n.前提,房屋连地基v.提论,预述,假定
premium	n.额外费用,奖金,奖赏,保险费
preposition	n.介词
prescribe	v.指示,规定;处(方),开(药)
prescription	n.药方,处方
presence	n.出席,到场,存在,在
preserve	v.保护,维持;保存,保藏
preside	v.(at,over)主持
prestige	n.声望,威望,威信
presume	v.假定,假设,认为,揣测,滥用,擅自行动
prevalent	a.流行的,普遍的
prick	n./v.刺伤,刺痛,刺孔
priest	n.教士,神父
primitive	a.原始的,远古的,早期的;粗糙的,简单的
privilege	n.特权,优惠,特许 v.给予优惠,给予特权
probe	n.探针,探测器 v.(以探针等)探查,穿刺,查究
procedure	n.程序,手续,步骤
proficiency	n.(in)熟练,精通
programme	n.(program)节目,计划,规划,程序 v.编程序
prolong	v.拉长,延长,拖延
pronoun	n.代词
pronounce	v.发…的音;宣布,宣判
pronunciation	n.发音,发音方法
propaganda	n.宣传(机构)；[天主教]传道总会
propel	vt.推进，推动；激励，驱使
prophet	n.预言家；先知；提倡者
propose	v.提议,建议;提名,推荐;求婚
proposition	n.主张,建议;陈述,命题
prosecute	vt.实行，从事 v.起诉，告发 vi.作检察官
prosper	v.成功,兴隆,昌盛,使成功,使昌隆,繁荣
protein	n.蛋白质
proud	a.(of)自豪的;引以自豪的;妄自尊大的
prove	v.证明,证实;检验;考验;鉴定;结果是,表明是
provision	n.供应,(一批)供应品;预备;条款;(pl.)给养
puff	n.一阵,一股(气味等);喘息;吹嘘v.喘息,鼓吹
puppet	n.木偶,傀儡
purple	a.紫的 n.紫色
pursue	v.追赶,追踪;继续,从事
quarrel	v.争吵,争论 n.争吵,争吵的原因
queer	a.奇怪的,古怪的
quench	v.熄灭,扑灭,压制,抑制,止渴
questionnaire	n.调查表,问卷
quilt	n.被子
quiver	v./n.颤抖,抖动
quiz	n.小型考试,测验,问答比赛
quota	n.(生产、进出口等的)配额，(移民的)限额
rack	n.挂物架,搁物架 v.使痛苦,折磨
racket	n.球拍
radar	n.雷达
radiant	a.发光的,辐射的,容光焕发的
radiate	v.放射,辐射;散布,传播
radical	a.基本的,重要的;激进的,极端的;根本的
rag	n.抹布,破布,碎布
raid	n/v..袭击,搜查
rail	n.栏杆,围栏;(pl.)铁路;铁轨;横杆,栏杆
railroad	n.(railway)铁路 v.由铁道运输
rake	n.耙子,耙机 v.耙;搜索,探索
rap	n.叩击,轻拍,斥责 v.敲,拍,打,斥责,使着迷
rash	a.轻率的,鲁莽的 n.皮疹
rat	n.鼠
ray	n.光线,射线
razor	n.剃刀
react	v.反应,起作用;(against)反对,起反作用
reassure	v.使安心，使放心；使消除疑虑
rebel	v.反抗,反叛,起义 n.叛逆者,起义者
rebellion	n.叛乱,反抗,起义
recipe	n.烹饪法,食谱;诀窍,方法
recipient	a.接受的,感受性强的 n.接受者,感受者,容器
reciprocal	a.相互的,往复的,互利的
recite	v.背诵,朗诵
reckless	a.不注意的,大意的,卤莽的,不顾后果的
recollect	v.回忆,想起,记起,忆起,记得
reconcile	v.使和好,调解,使调和;(to,with)使一致
recreation	n.娱乐,消遣
recruit	v.征募(新兵)，吸收；补充 n.新成员，新兵
rectify	v.纠正,整顿, [化]精馏
recur	v.(尤指不好的事)一再发生；重现
reduce	v.减少,缩小;简化,还原
reduction	n.减小,减少,缩小
redundant	a.多余的,过剩的;(食物)丰富的;被解雇的
reed	n.芦苇,苇丛;芦笛,牧笛
reel	n.卷筒,线轴 v.卷,绕
refer	v.参考,查询;提到,引用,涉及;提交,上呈
refrain	v.节制,避免,制止 n.(诗的)叠句
refuge	n.避难处,藏身处
refund	n.归还,偿还额,退款 v.退还,偿还,偿付
refusal	n.拒绝,回绝
refute	v.反驳,驳斥
rehearsal	n.排练,排演,演习,预演,试演
rein	n.缰绳,统治,支配 v.驾驭,控制,统治
reinforce	v.增援,加强
rejoice	v.(使)欣喜,(使)高兴
religion	n.宗教,信仰
religious	a.宗教的,信教的,虔诚的
relish	n.美味,味道,调味品,食欲,乐趣 v.喜欢,品味
reluctant	a.不愿的,勉强的
remedy	n.药品;治疗措施 v.治疗,医治;纠正,补救
removal	n.移动,迁居;除去
renaissance	n.[the R-]文艺复兴(时期)；新生，复兴
renew	v.(使)更新,恢复,重新开始,继续
renovate	v.更新,修复
rent	v.租,租赁 n.租金
repay	v.偿还,报答
repel	v.击退,抵制,使厌恶,使不愉快
repertoire	n.节目,全部剧目,保留剧目,全部技能
repetition	n.重复,反复
reproach	v./n.责备,指责
resemblance	n.相似,相似性[点,物]
resemble	v.像,类似
resent	v.对…表示忿恨,怨恨
reservation	n.保留,保留意见;预定,预订
residence	n.住处,住宅
resign	v.辞去,辞职,使听从(于),使顺从
resist	v.抵抗,反抗;抗,忍得住,抵制
resistance	n.(to)抵抗,反抗;抵抗力,阻力;电阻
resistant	a.(to)抵抗的,有抵抗力的
restless	a.得不到休息的;不平静的;坐立不安的
restrict	v.限制,约束
retention	n.保留,保持,保持力,记忆力
retort	n./v.报复,反击,反驳
retrospect	v./n.回顾，回想，追溯[反]foresee
revenge	n.报复,复仇 v.替…报仇
revolt	v./n.反抗,起义
rib	n.肋骨,肋状物
ribbon	n.缎带,丝带,带,带状物
rid	v.(of)使摆脱,使去掉
riddle	n.谜,谜语
ridge	n.岭,山脉;屋脊;鼻梁
rifle	n.步枪
rigid	a.刚性的;刻板的;严厉的
rigorous	a.严格的,严厉的,严酷的,严密的,严谨的
riot	n.暴(骚)乱,蔓延,彩色缤纷 v.骚乱,暴动
ritual	a.宗教仪式的,典礼的 n.(宗教)仪式,典礼
rival	n.竞争者,对手 v.竞争,对抗 a.竞争的
roast	v.烤,炙,烘
rod	n.杆,棒
rope	n.绳,索
rotary	a.旋转的
rough	a.粗糙的;粗略的,大致的;粗野的,粗暴的
rub	v.擦,摩擦
rubber	n.橡皮,橡胶;橡胶制品,胶鞋
rubbish	n.垃圾,废物;废话
rude	a.粗鲁的;猛烈的,残暴的;粗糙的,粗陋的
ruin	v.毁灭;(使)破产 n.毁灭,崩溃;(pl.)废墟
rural	a.乡下的,田园的,乡村风味的
rust	n.铁锈 v.(使)生锈
ruthless	a.残酷的,无情的
sack	n.袋,包,麻袋 v.解雇
sacred	a.神圣的;宗教的;庄严的
saddle	n.鞍,马鞍,鞍状物
sail	n.帆,航行 v.航行
sake	n.缘故,理由
salad	n.色拉,凉拌菜
salute	v./n.敬礼,鸣礼炮;迎接,欢迎
salvation	n.拯救,救助;救济(者,品),救助工具;救世主
sanction	n./v.批准,同意,支持,认可 n.处罚,制裁
sane	a.心智健全的,神志清醒的,明智的,稳健的
sarcastic	a.讽刺的
satire	n.讽刺,讽刺文学,讽刺作品
sauce	n.酱汁,调味汁
saucer	n.茶托,碟子
sausage	n.香肠,腊肠
savage	a.野蛮的;凶恶的,残暴的 n.野人,未开化的人
scar	n.疤,疤痕;创伤 v.使留下伤痕,创伤
scarcely	ad.几乎不,简直没有,勉强
scarf	n.围巾,头巾,领巾,领带
scatter	v.散开,驱散;散布,散播
scent	n.气味,香味,香水,线索,嗅觉 v.嗅,发觉
scheme	n.计划,方案;阴谋;配置 v.计划,策划;阴谋
scissors	n.剪子
scold	v.责骂,训斥
scorn	v./n.轻蔑,藐视
scout	n.侦察员,侦察机(舰) v.搜索,侦察
scramble	vi.(快速地)爬，攀登；互相争夺，争先
scrap	n.碎片;废料 v.废弃,报废
scrape	v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声
scratch	v.抓,搔,扒 n.抓,搔,抓痕;起跑线
screw	n.螺旋,螺丝(钉) v.拧,拧紧
scrutiny	n.周密的调查；仔细看；监视；选票复查
sculpture	n.雕刻(术)，雕塑(术)；雕刻作品
segregate	vt.使···分开，隔离（病患等）
semester	n.学期
semiconductor	n.半导体
seminar	n.(大学的)研究班,研讨会
senator	n.参议员
sentiment	n.感情，柔情；看法；感觉
setback	n.挫折；失效；复发；倒退
severe	a.严厉的;剧烈的,严重的,严峻的,艰难的
sew	v.缝,缝纫
shady	a.成荫的,多荫的;可疑的,靠不住的
shaft	n.轴;杆状物
shall	aux.v.(我，我们)将要，会；必须，应该
sham	n./a.假冒(的)，虚伪(的)
shame	n.羞耻,耻辱;可耻的人(或事物) v.使羞愧
shampoo	n.洗发膏,香波;洗发,洗头 v.洗发,洗头
shark	n.鲨鱼
sharp	a.锋利的;轮廓分明的;急转的ad.(指时刻)正
shatter	n.碎片；粉碎　v.粉碎；使疲惫；使震骇
shed	v.流出;发散,散发,脱落,脱去 n.棚,小屋
sheer	a.纯粹的,十足的,全然的;陡峭的,险峻的
shepherd	n.牧民,牧羊人
shilling	n.先令
shine	v.照耀,发光;擦亮 n.光泽,光
shirt	n.衬衫
shore	n.海滨,湖滨
short	a.短的,矮的;(of)缺乏,不足 n.(pl.)短裤
shoulder	n.肩,肩部 v.肩负,承担
shout	v.大声叫，喊，呼出 n.呼喊，叫
shove	vt.乱推；乱塞vi.用力推，挤n.猛推
shower	n.阵雨;沐浴;(一)阵/大批v.下阵雨,倾注
shrewd	a.机灵的,敏锐的;精明的
shrug	vt./n.耸肩(表示冷淡、怀疑、无奈、不满等)
shy	a.怕羞的，腼腆的；胆怯的vi.惊退，畏缩
siege	n.包围，围攻，围困
sight	n.视力;望见,瞥见;视域;眼界;情景,奇观
signature	n.签名,署名,签字
silly	a.傻的,糊涂的,愚蠢的
sin	n.罪,罪恶 v.犯罪
sink	v.(使)下沉,下落 n.水槽,水池
siren	n.警报声,警报器
situated	a.坐落在…的
skate	v.溜冰,滑冰 n.冰鞋
skeptical	a.怀疑的 [英]sceptical
sketch	n.素描;略图,草图;梗概 v.绘略图,速写,写生
ski	n.雪橇 v.滑雪
skill	n.技能,技巧,手艺;熟练
skilled	a.(in)熟练的,有技能的;需要技能的
skillful	a.(skilful)(in,at)灵巧的,娴熟的
skim	vt.撇去(液体表面)之漂浮物 vi.轻轻掠过
skull	n.头盖骨，颅骨
slack	a.懈怠的,松驰的;萧条的 n.淡季;(pl.)便裤
slam	v.(门、窗等)砰地关上 n.猛然关闭的声音
slap	n./v.拍,掌击
sleeve	n.袖子
slide	v.(使)滑动 n.滑坡,滑道;滑,滑动;幻灯片
slight	a.轻微的,微小的;纤细的,瘦弱的
slim	a.苗条的;(机会)少的 v.减轻体重,变苗条
slip	v.滑,滑倒;滑掉;溜走n.疏忽,小错,口误,笔误
slipper	n.便鞋,拖鞋
slippery	a.滑的,滑溜的
slit	v.切开,截开,纵割 n.细长裂缝,狭长切口
slogan	n.标语,口号
